title,author(s),published__online_date,article_url,OnlineFirst (Y/N),volume,issue,in_scope(Y/NA),qualitative(Y/N),data(Y/N),code(Y/N),data + code,neither,data_gated(Y/N),data_source / apply_at,package_location,path_to_package,coverage_checked,notes
The Social Origins of Effort: How Incentives Reduce Socioeconomic Disparities among Children,Jonas Radl; William Foley; Lea Katharina Kröger; Patricia Lorente; Alberto Palacios-Abad; Heike Solga; Jan Stuhler; Madeline Swarr,2026-01-13,https://journals.sagepub.com/doi/10.1177/00031224251401933,N,91,1,Y,N,Y,Y,Y,N,Y,Spanish sample deposited at edatos (doi.org/10.21950/HJZKQG); German sample permanently restricted per data-protection policy; author-collected experiment (jonas.radl@uc3m.es),https://doi.org/10.21950/HJZKQG,landing-page DAS -> edatos Dataverse,DAS + Crossref relation + edatos (API bot-walled; Spanish downloadability user-verified),"Quantitative lab experiment (1,360 5th-graders, cognitive effort/SES). DAS: Spanish (main) sample data at edatos doi.org/10.21950/HJZKQG; German part cannot be shared publicly (data protection). Spanish analysis data physically deposited & downloadable -> data=Y (v3.3 physical-deposit rule). No code deposited -> code=N. German portion permanently restricted (author-collected human-subjects) -> data_gated=Y. edatos API bot-walled (Anubis); Spanish availability user-verified."
The Changing Role of Mothers’ Status in Children’s College Completion,Christine R. Schwartz; Michael D. King,2026-01-17,https://journals.sagepub.com/doi/10.1177/00031224251401938,N,91,1,Y,N,Y,Y,Y,N,N,,https://osf.io/p26gd,landing-page DAS -> OSF (api.osf.io),DAS + OSF API (osfstorage),"Quantitative decomposition (returns to parents' status, college completion) using NSFH/GSS/PSID. DAS: public-use NSFH/GSS/PSID + all code on OSF osf.io/p26gd. OSF node public, title matches, contributors=authors. The node physically deposits the data files used to reproduce the article (analysis/crosswalk .xls: integrated_ind_occ_crosswalks, PRESTG10SEI10 supplement, Xsection_all, F2T2F4_yrs_ed, plus result tables) alongside 26 .do scripts. Per v3.3, deposited data files that reproduce the article -> data=Y; underlying NSFH/GSS/PSID sources are public -> data_gated=N; code=Y. (Manual ruling: the deposited dataset reproduces the article, so data=Y.)"
"Time and Climate Change: U.S. Media Representations of Climate Actions, Horizons, and Events (2000 to 2021)",Oscar Stuhler; Iddo Tavory; Robin Wagner-Pacifici,2026-01-17,https://journals.sagepub.com/doi/10.1177/00031224251403596,N,91,1,Y,N,Y,Y,Y,N,N,,https://osf.io/wa59c/,landing-page DAS -> OSF (api.osf.io),DAS + OSF API + readme,"Large-scale computational text analysis of US media climate discourse 2000-2021 -> quantitative. DAS: replication package with code + instructions at osf.io/wa59c. OSF public, title matches. /scripts (R) + /data (paragraphs.csv 43MB classified paragraphs+labels, horizons.csv, daily_counts.csv, trend_window.rds, openly downloadable) + /models + /figures -> data=Y (analysis data physically deposited, open), code=Y, data_gated=N."
Pedagogy of Fear: Folklore and the Far-Right in Weimar Germany,Elena Amaya; Robert Braun,2026-02-22,https://journals.sagepub.com/doi/10.1177/00031224251409746,N,91,2,Y,N,N,N,N,Y,Y,available upon request now; after Braun's book to be posted on his Dataverse — elena_amaya@berkeley.edu,,landing-page DAS,DAS + author emails in HTML,"Quantitative empirical (far-right voting + folklore/textual; both qual+quant -> quantitative). DAS: 'Data are available upon request. After the publication of Braun's book, the data will be posted on his Dataverse.' No repository deposited yet -> data=N (declared, not yet deposited), code=N. Available-on-request is a real route + author-collected data -> data_gated=Y (elena_amaya@berkeley.edu)."
Unsecured Credit and the Social Safety Net in U.S. States,Alec P. Rhodes; Davon Norris; Jason Houle; Rachel E. Dwyer; Sarah K. Bruch; Lawrence M. Berger,2026-02-22,https://journals.sagepub.com/doi/10.1177/00031224251411563,N,91,2,Y,N,Y,Y,Y,N,Y,"individual-level credit-bureau panel (OSU-WI CCP) proprietary, no public route; State Safety Net DB inquiries skbruch@udel.edu",https://github.com/OSU-UW-CCP/State-Safety-Net-ASR26,landing-page DAS -> GitHub (org repo),DAS + GitHub API tree + Read.Me + Crossref,"FE models on a credit-record panel + state safety-net DB. GitHub repo PHYSICALLY deposits public state/ZIP data (BEA_Regional_Price_Parities.dta, socialexplorer ACS ZCTA .dta x2, em_policy_cleaned.dta eviction-moratorium, slrest_v4.dta small-dollar-loan) + Stata code -> data=Y (v3.3: public data settled into package counts), code=Y. Read.Me: individual-level credit-bureau data proprietary, not provided -> that portion data_gated=Y (no public route). Provenance: org OSU-UW-CCP + author emails in Read.Me. NOTE: OpenICPSR 157201 in the DAS is a THIRD-PARTY source (Benfer & Koehler eviction data), NOT the authors' deposit."
When Political Pivots Shift Behaviors but Not Beliefs: Evidence from Trump’s Position Reversal over Facemasks during the COVID-19 Crisis,Bartholomew A. Konechni,2026-02-22,https://journals.sagepub.com/doi/10.1177/00031224251415372,N,91,2,Y,N,Y,Y,Y,N,Y,Understanding America Study / Understanding Coronavirus in America — restricted; data-access application at uasdata.usc.edu (USC/CESR),https://github.com/ReimstoParis/How_Political_Pivots_Shape_Behaviors_and_Beliefs_During_Crises_ASR,landing-page DAS -> GitHub,DAS + GitHub API tree + README,"Longitudinal FE analysis of Trump's July-2020 facemask pivot using the UAS Understanding Coronavirus panel. DAS: 'all code + non-sensitive data at github.com/ReimstoParis/...ASR'. Repo (name matches article+ASR, DAS-linked) PHYSICALLY deposits derived/non-sensitive analysis data (.dta All_mod/Dem_mod/Rep_mod/Oth_mod/Epi_Final_2 + Month_df.csv) + R/Stata code -> under v3.3 data=Y, code=Y. Core UAS microdata restricted ('cannot be shared publicly; accessed upon request') -> data_gated=Y (apply uasdata.usc.edu). Cited public sources (OxCGRT/CDC) are dependencies."
Living with Ghosts: How Physical Traces of the Past Shape Cultural Trauma in Chinatowns,Matt Patterson; Henry Tsang; Bryan Kuk; Weiqi Li; Mojtaba Rostami,2026-03-13,https://journals.sagepub.com/doi/10.1177/00031224261422414,N,91,2,Y,Y,N,N,N,Y,,,,landing-page DAS (no package deposited),landing-page DAS + full-text scan (no osf/github/dataverse/openicpsr),"Qualitative study of cultural trauma in Chinatowns via activist interviews + archival planning documents -> qual Y. DAS states only that the online supplement holds the interview guide + a list of analyzed documents (a methods appendix, NOT a data/code deposit) -> data=N, code=N. Underlying evidence includes confidential interviews -> data_gated=N/A (qualitative) (basis: author-collected human-subjects interviews, no deposit; matt.patterson@ucalgary.ca)."
"Kinship Interlocks: How the Intimate Exchange of Wealth, Status, and Power Generates Upper-Class Persistence",Shay O’Brien,2026-03-25,https://journals.sagepub.com/doi/10.1177/00031224261425688,N,91,2,Y,N,Y,Y,Y,N,N,,https://doi.org/10.7910/DVN/Z4EMS1,landing-page DAS -> Harvard Dataverse API,DAS + Harvard Dataverse API,"Quantitative (genealogy/network) + qual case studies; both -> quantitative (qual N). DAS: quantitative replication package on Harvard Dataverse doi:10.7910/DVN/Z4EMS1; qual case summaries in the online supplement. API: 'Replication Data for Kinship Interlocks...', author O'Brien (MIT). Files (restricted=false): replicationcode_KinshipInterlocksASR.R + blue2.xlsx + econelites.xlsx + polelites.xlsx (analysis data) + codebook.pdf + readme.txt -> data=Y, code=Y, data_gated=N."
Salience Shifts and Managerial Discretion: How Periods of Islamist Terrorism Affect the Employment of Middle Eastern Men,Malte Reichelt; Christoph Müller,2026-03-31,https://journals.sagepub.com/doi/10.1177/00031224261424488,N,91,2,Y,N,N,Y,N,N,Y,"German linked employer-employee / IEB administrative data — restricted-use via IAB Research Data Centre (FDZ), fdz.iab.de",https://osf.io/5vwx9/,landing-page DAS -> OSF (api.osf.io),DAS + OSF API (node/contributors/osfstorage),"Quantitative study of Islamist-terrorism salience on Middle-Eastern men's employment, monthly German linked employer-employee data 1999-2019. OSF node 5vwx9 (JS-rendered; read via API). Contributors = the two authors. Replication Files: CODE ONLY (18 .do + 8 .R), NO data files -> code=Y, data=N. Underlying IEB data restricted (IAB/FDZ) -> data_gated=Y."
Collateral Decision-Making: The Case of Pretrial Detention and the Criminal Courts,Caylin Louis Moore,2026-04-07,https://journals.sagepub.com/doi/10.1177/00031224261423211,N,91,3,Y,Y,N,N,N,Y,,,,no DAS on landing page; Crossref relation empty; no deposit,"landing page (Abstract/References/Biographies only, NO DAS) + Crossref relation (none) + cache scan (no osf/github/dataverse/openicpsr)","Qualitative study of in-depth interviews with 65 pretrial detainees. NO DAS section on landing page, no repo links; Crossref relation empty. Confidential human-subjects interview data (inherently restricted) -> data=N, data_gated=N/A (qualitative) (basis: IRB-protected interviews, no deposit, no route; clm7099@psu.edu). No code -> code=N."
