title,author(s),published__online_date,article_url,OnlineFirst (Y/N),volume,issue,in_scope(Y/NA),qualitative(Y/N),data(Y/N),code(Y/N),data + code,neither,data_gated(Y/N),data_source / apply_at,package_location,path_to_package,coverage_checked,notes
Tokenism and Its Long-Term Consequences: Evidence from the Literary Field,Clayton Childress; Jaishree Nayyar; Ikee Gibson,2023-12-14,http://journals.sagepub.com/doi/10.1177/00031224231214288,N,89,1,Y,N,N,N,N,Y,Y,Authors' original hand-collected dataset on postcolonial literature / Booker Prize longlists and long-term retention; no application route or repository provided in the article.,,"no DAS, no repoLinks in payload","title + abstract + section headings; hasDAS=false, no DAS text, no repoLinks","Quantitative empirical study ('original data' on creation/long-term retention of postcolonial literature, with Variables and Models sections). No Data Availability Statement and no repository links in payload, so no package was deposited: data=N, code=N. data_gated=Y because the analysis rests on the authors' own compiled dataset, which is not deposited and not shown to be freely/publicly available."
"Unrealized Integration in Education, Sociology, and Society",Prudence L. Carter,2023-12-14,https://journals.sagepub.com/doi/10.1177/00031224231217711,N,89,1,NA,,,,,,,,,,title + abstract + section headings,"2023 ASA presidential address by Prudence Carter — a conceptual/argumentative address ('unrealized integration'), explicitly NA under the codebook (presidential/ASA address). Nothing to reproduce; remaining fields left blank."
"The Social Foundations of Academic Freedom: Heterogeneous Institutions in World Society, 1960 to 2022",Julia C. Lerch; David John Frank; Evan Schofer,2023-12-30,http://journals.sagepub.com/doi/10.1177/00031224231214000,N,89,1,Y,N,N,N,N,Y,Y,Cross-national academic-freedom data (source not named in payload; commonly V-Dem Academic Freedom Index / related indices). No deposit or application route given in the article; the specific source could not be confirmed as freely public from the payload.,,"no DAS, no repoLinks in payload","title + abstract + section headings; hasDAS=false, no DAS text, no repoLinks","Quantitative cross-national empirical study of worldwide academic freedom ('newly available cross-national data', Data and Methods section). No Data Availability Statement and no repository links, so nothing deposited: data=N, code=N. data_gated coded Y because the underlying cross-national data source is not identified in the payload and cannot be confirmed as freely/publicly available; flag for human check of the specific dataset (possible public V-Dem AFI)."
Threats to Blue Networks: The Effect of Partner Injuries on Police Misconduct,Linda Zhao; Andrew V. Papachristos,2024-01-03,http://journals.sagepub.com/doi/10.1177/00031224231208723,N,89,1,Y,N,N,N,N,Y,Y,"Chicago Police Department administrative records (misconduct complaints, officer injuries, officer networks, 2004-2015); typically obtained via FOIA / the Invisible Institute Citizens Police Data Project (https://cpdp.co). No specific application route stated in the payload.",,"no DAS, no repoLinks in payload","title + abstract + section headings; hasDAS=false, no DAS text, no repoLinks","Quantitative network study of police misconduct using CPD administrative data on misconduct, injuries, and officer networks (2004-2015). No Data Availability Statement and no repository links, so nothing deposited: data=N, code=N. data_gated=Y because the analysis relies on sensitive/administrative police personnel and misconduct records that are restricted/confidential rather than freely public."
"Editors’ Note, 2024 to 2026: Looking to W.E.B. Du Bois",David A. Cort; Laurel Smith-Doerr; Donald Tomaskovic-Devey; Jennifer L. Garfield-Abrams; Joanna Riccitelli,2024-01-18,http://journals.sagepub.com/doi/10.1177/00031224231222725,N,89,1,NA,,,,,,,,,,title + abstract + section headings,Incoming ASR editors' note (2024-2026) describing editorial values and the review process — explicitly NA under the codebook (editors' note). Nothing empirical to reproduce; remaining fields left blank.
"From Hard Labor to Market Discipline: The Political Economy of Prison Work, 1974 to 2022",Adam Reich,2024-01-18,http://journals.sagepub.com/doi/10.1177/00031224231221741,N,89,1,Y,N,N,N,N,Y,Y,61 interviews with prison administrators/advocates/formerly incarcerated people are author-collected human subjects (contact author; not deposited). Quantitative Survey of Inmates in State Correctional Facilities is a BJS/ICPSR series (https://www.icpsr.umich.edu).,,"no DAS, no repoLinks in payload",abstract + section headings + hasDAS(false) + repoLinks(none),"Mixed-methods empirical paper: quantitative analysis of seven waves of the Survey of Inmates in State Correctional Facilities plus 61 qualitative interviews; uses BOTH qual and quant so coded quantitative (N). No DAS and no repository links; no replication package deposited, so data=N and code=N. data_gated=Y because the interview data is author-collected human-subjects and not publicly available, and the analysis data was not deposited."
"Understanding Competition in Social Space: Religious Congregations in Manhattan, 1949 to 1999",Casey P. Homan,2024-01-21,http://journals.sagepub.com/doi/10.1177/00031224231221561,N,89,1,Y,N,N,N,N,Y,Y,"Author's original compilation of life histories of Manhattan religious congregations 1949-1999; not deposited, contact corresponding author.",,"no DAS, no repoLinks in payload",abstract + section headings + hasDAS(false) + repoLinks(none),"Quantitative empirical paper: event-history analyses of an original compilation of congregation life histories. No DAS and no repository links; no replication package deposited, so data=N and code=N. data_gated=Y because the analysis data is an author-collected original compilation that is not freely/publicly available."
Cultural Tariffing: Appropriation and the Right to Cross Cultural Boundaries,Abraham Oshotse; Yael Berda; Amir Goldberg,2024-02-21,https://journals.sagepub.com/doi/10.1177/00031224231225665,N,89,2,Y,N,Y,Y,Y,N,N,,https://osf.io/s69u4/files/osfstorage,data availability statement -> OSF project s69u4 -> 'Cultural Tariffing ASR Reproduction Files' folder,DAS + repoLinks + OSF API check of node s69u4 folder contents,"Quantitative vignette-survey experiment. DAS gives OSF s69u4; API check confirms a 'Cultural Tariffing ASR Reproduction Files' folder containing data.csv plus Stata scripts load_data.do, figures.do, appendix.do -> authors deposited both the analysis data (data=Y) and reproduction code (code=Y). data_gated=N: the survey data is deposited openly in the public OSF package. The second link tvp4q is an empty anonymized view-only node."
"Safe as Houses: Financialization, Foreclosure, and Precarious Homeownership in the United States",Walker Nelson Kahn,2024-02-29,https://journals.sagepub.com/doi/10.1177/00031224241231011,N,89,2,Y,N,N,N,N,Y,Y,Cook County (Illinois) Circuit Court foreclosure records (court/PACER-style records); interviews with key participants are author-collected human subjects (contact author).,,"repoLink resolves to an unrelated SocArXiv preprint, not a package",abstract + section headings + repoLinks + OSF preprints API check of gevq3,"Mixed-methods empirical paper: court records, interviews, and primary-source documents plus quantitative foreclosure measures (annual foreclosures, duration, plaintiff, PLS servicing) -> uses BOTH qual and quant, coded quantitative (N). The only repoLink (doi.org/10.31235/osf.io/gevq3) resolves via OSF API to an unrelated SocArXiv preprint 'The Sociology of Housing Market Intermediaries' by Korver-Glenn et al. -- NOT this paper's replication package. No package deposited: data=N, code=N. data_gated=Y because Cook County court records and author-collected interviews are restricted/not freely available."
Learning to Think Like an Economist without Becoming One: Ambivalent Reproduction and Policy Couplings in a Masters of Public Affairs Program,Tim Hallett; Matthew Gougherty,2024-03-04,https://journals.sagepub.com/doi/10.1177/00031224241231985,N,89,2,Y,Y,N,N,N,Y,,,,"repoLink resolves to an unrelated SocArXiv preprint, not a package",abstract + section headings + repoLinks + OSF preprints API check of vdfna,"Qualitative empirical paper: ethnography of a Masters of Public Affairs program, interpreting fieldwork directly (qualitative=Y). The only repoLink (doi.org/10.31235/osf.io/vdfna) resolves via OSF API to an unrelated SocArXiv preprint 'Moral reconciling at career launch: liberal prospective law school students' -- a different interview study, NOT this paper's ethnographic data or a replication package. No package deposited: data=N, code=N. data_gated left blank per rule (qualitative study is not reproduced from its data)."
